.0000	.0000	.3241	.3729	.6250	.0625	.0000	.8023	1.0	.0	.0
.8750	.9844	.6019	.5424	.8125	.4688	.0880	.8475	1.0	.0	.0
.3750	.3594	.4306	.4237	.6250	.0625	.0000	.8023	.0	1.0	.0
.5625	.4531	.4398	.4124	.5625	.4063	.4491	.4463	.0	.0	1.0
.8750	.9844	.6019	.5424	.8125	.4688	.0880	.8475	1.0	.0	.0
.5000	.1875	.0556	.7797	.7500	.6250	1.0000	.0169	.0	.0	1.0
1.0000	.7344	.5417	.4802	.3750	.3594	.4306	.4237	1.0	.0	.0
.6875	1.0000	.5556	.5311	.8750	.9844	.6019	.5424	.0	.0	1.0
.7500	.5000	.4722	.4350	.7500	.5625	.8333	.0000	.0	.0	1.0
1.0000	.9375	.1806	.9718	.6250	.7656	.1528	1.0000	.0	.0	1.0
.5625	.4063	.4491	.4463	.8125	.4688	.0880	.8475	.0	1.0	.0
1.0000	.7344	.5417	.4802	.6250	.0625	.0000	.8023	.0	1.0	.0
.8125	.4688	.0880	.8475	.0000	.0000	.3241	.3729	1.0	.0	.0
.2500	.1719	.0556	.8531	.8750	.9844	.6019	.5424	.0	.0	1.0
.5625	.4531	.4398	.4124	.8750	.9844	.6019	.5424	.0	.0	1.0
.7500	.5000	.4722	.4350	.8125	.4688	.0880	.8475	.0	1.0	.0
1.0000	.9375	.1806	.9718	1.0000	.7344	.5417	.4802	.0	.0	1.0
.6875	1.0000	.5556	.5311	.3750	.4844	.4815	.4068	.0	1.0	.0
.6250	.7656	.1528	1.0000	.7500	.5000	.4722	.4350	.0	1.0	.0
.7500	.5000	.4722	.4350	1.0000	.7344	.5417	.4802	1.0	.0	.0
.5625	.4063	.4491	.4463	.8125	.4688	.0880	.8475	.0	1.0	.0
.6250	.7656	.1528	1.0000	.8750	.9844	.6019	.5424	1.0	.0	.0
.5000	.1875	.0556	.7797	1.0000	.9375	.1806	.9718	.0	1.0	.0
.3750	.3594	.4306	.4237	.0000	.0000	.3241	.3729	.0	1.0	.0
.5625	.4219	.4537	.3785	.5625	.4531	.4398	.4124	.0	.0	1.0
.8125	.4688	.0880	.8475	.6250	.7656	.1528	1.0000	.0	.0	1.0
.2500	.1719	.0556	.8531	.5625	.4063	.4491	.4463	.0	.0	1.0
.4375	.5156	.4352	.4237	.8125	.4688	.0880	.8475	.0	1.0	.0
.6250	.0625	.0000	.8023	.2500	.1719	.0556	.8531	.0	1.0	.0
.0000	.0000	.3241	.3729	.7500	.6250	1.0000	.0169	.0	.0	1.0
1.0000	.7344	.5417	.4802	.3750	.4844	.4815	.4068	1.0	.0	.0
.4375	.5156	.4352	.4237	.5000	.1875	.0556	.7797	.0	1.0	.0
1.0000	.9375	.1806	.9718	.8125	.4688	.0880	.8475	.0	.0	1.0
.5625	.4531	.4398	.4124	.3750	.3594	.4306	.4237	.0	1.0	.0
.5000	.1875	.0556	.7797	.8125	.4688	.0880	.8475	.0	1.0	.0
.4375	.5156	.4352	.4237	.6250	.0625	.0000	.8023	1.0	.0	.0
.3750	.4844	.4815	.4068	.0000	.0000	.3241	.3729	1.0	.0	.0
.6250	.7656	.1528	1.0000	.2500	.1719	.0556	.8531	1.0	.0	.0
.5625	.2813	.4167	.4181	.7500	.5625	.8333	.0000	.0	.0	1.0
.8125	.4688	.0880	.8475	.6250	.0625	.0000	.8023	.0	.0	1.0
.7500	.5000	.4722	.4350	.6250	.7656	.1528	1.0000	1.0	.0	.0
.6875	1.0000	.5556	.5311	.5625	.4531	.4398	.4124	1.0	.0	.0
1.0000	.7344	.5417	.4802	.4375	.5156	.4352	.4237	.0	1.0	.0
1.0000	.9375	.1806	.9718	.5625	.4063	.4491	.4463	1.0	.0	.0
.8125	.4688	.0880	.8475	.7500	.5625	.8333	.0000	.0	1.0	.0
.7500	.6250	1.0000	.0169	.5000	.1875	.0556	.7797	1.0	.0	.0
.6250	.0625	.0000	.8023	1.0000	.9375	.1806	.9718	.0	1.0	.0
.6875	1.0000	.5556	.5311	.4375	.5156	.4352	.4237	1.0	.0	.0
.7500	.6250	1.0000	.0169	.2500	.1719	.0556	.8531	1.0	.0	.0
.7500	.6250	1.0000	.0169	.5625	.4531	.4398	.4124	1.0	.0	.0
.3750	.3594	.4306	.4237	.4375	.5156	.4352	.4237	.0	.0	1.0
.0000	.0000	.3241	.3729	.5625	.4531	.4398	.4124	1.0	.0	.0
.7500	.6250	1.0000	.0169	.3750	.4844	.4815	.4068	1.0	.0	.0
.8125	.4688	.0880	.8475	.8750	.9844	.6019	.5424	.0	.0	1.0
.2500	.1719	.0556	.8531	.7500	.5000	.4722	.4350	.0	.0	1.0
.8750	.9844	.6019	.5424	.5625	.4219	.4537	.3785	1.0	.0	.0
.6250	.7656	.1528	1.0000	.7500	.6250	1.0000	.0169	1.0	.0	.0
.5000	.1875	.0556	.7797	.6250	.0625	.0000	.8023	.0	.0	1.0
.4375	.5156	.4352	.4237	.0000	.0000	.3241	.3729	1.0	.0	.0
.2500	.1719	.0556	.8531	.7500	.5625	.8333	.0000	.0	1.0	.0
.8750	.9844	.6019	.5424	.5625	.4531	.4398	.4124	1.0	.0	.0
.7500	.6250	1.0000	.0169	.6875	1.0000	.5556	.5311	.0	.0	1.0
.8125	.4688	.0880	.8475	.7500	.5000	.4722	.4350	1.0	.0	.0
1.0000	.7344	.5417	.4802	.7500	.5625	.8333	.0000	1.0	.0	.0
.7500	.6250	1.0000	.0169	.4375	.5156	.4352	.4237	.0	1.0	.0
.2500	.1719	.0556	.8531	1.0000	.7344	.5417	.4802	1.0	.0	.0
.6250	.0625	.0000	.8023	.7500	.5625	.8333	.0000	.0	.0	1.0
.0000	.0000	.3241	.3729	.3750	.3594	.4306	.4237	1.0	.0	.0
.5625	.4531	.4398	.4124	.5625	.4219	.4537	.3785	1.0	.0	.0
.8750	.9844	.6019	.5424	.8125	.4688	.0880	.8475	1.0	.0	.0
.5625	.4219	.4537	.3785	1.0000	.9375	.1806	.9718	.0	.0	1.0
.2500	.1719	.0556	.8531	.8750	.9844	.6019	.5424	.0	.0	1.0
.5625	.2813	.4167	.4181	.7500	.5625	.8333	.0000	.0	.0	1.0
.5625	.4531	.4398	.4124	.8750	.9844	.6019	.5424	.0	.0	1.0
